iter	Passed	Remaining
0	2	2371
1	4	2366
2	6	2241
3	8	2239
4	11	2222
5	13	2196
6	15	2216
7	17	2220
8	20	2215
9	22	2178
10	24	2169
11	26	2176
12	28	2164
13	30	2163
14	32	2158
15	34	2145
16	37	2147
17	39	2141
18	42	2175
19	44	2203
20	46	2187
21	48	2172
22	51	2169
23	53	2186
24	55	2176
25	57	2172
26	59	2159
27	61	2148
28	63	2138
29	66	2134
30	67	2123
31	69	2117
32	71	2105
33	73	2097
34	75	2091
35	77	2088
36	79	2081
37	81	2074
38	83	2067
39	85	2058
40	87	2049
41	89	2041
42	91	2035
43	93	2027
44	95	2023
45	97	2017
46	99	2014
47	101	2013
48	103	2008
49	105	2001
50	107	1998
51	109	1992
52	111	1989
53	113	1994
54	116	1996
55	118	2005
56	121	2004
57	123	2011
58	125	2006
59	127	2005
60	130	2007
61	132	2007
62	135	2008
63	137	2006
64	139	2003
65	141	1998
66	143	1993
67	145	1991
68	147	1985
69	149	1981
70	151	1976
71	153	1973
72	154	1967
73	156	1963
74	159	1961
75	160	1956
76	162	1952
77	164	1948
78	166	1946
79	169	1943
80	170	1939
81	172	1936
82	174	1932
83	177	1931
84	179	1927
85	181	1924
86	182	1919
87	184	1916
88	187	1914
89	189	1911
90	191	1908
91	193	1908
92	195	1908
93	197	1905
94	199	1902
95	201	1900
96	203	1898
97	205	1895
98	208	1893
99	210	1892
100	212	1890
101	214	1887
102	216	1886
103	218	1885
104	220	1883
105	222	1879
106	224	1876
107	226	1873
108	229	1872
109	231	1872
110	233	1868
111	235	1866
112	237	1863
113	239	1862
114	241	1859
115	243	1857
116	245	1853
117	247	1850
118	249	1849
119	251	1847
120	254	1845
121	256	1843
122	258	1842
123	260	1839
124	262	1837
125	264	1834
126	266	1833
127	269	1833
128	271	1831
129	273	1829
130	275	1825
131	277	1823
132	279	1820
133	281	1817
134	283	1816
135	285	1815
136	287	1812
137	289	1809
138	291	1807
139	293	1804
140	295	1801
141	297	1798
142	299	1795
143	301	1793
144	303	1790
145	305	1788
146	307	1785
147	309	1782
148	312	1783
149	314	1782
150	316	1779
151	318	1777
152	320	1776
153	323	1775
154	325	1772
155	327	1770
156	329	1768
157	331	1769
158	334	1767
159	336	1766
160	338	1765
161	341	1765
162	343	1764
163	345	1761
164	347	1759
165	349	1756
166	351	1754
167	353	1752
168	356	1750
169	358	1749
170	360	1747
171	362	1743
172	364	1741
173	366	1737
174	367	1733
175	369	1731
176	372	1730
177	374	1728
178	376	1726
179	378	1724
180	380	1722
181	382	1720
182	385	1719
183	387	1717
184	389	1715
185	391	1713
186	393	1710
187	395	1708
188	397	1707
189	400	1705
190	402	1704
191	404	1702
192	406	1701
193	409	1700
194	411	1698
195	413	1696
196	415	1694
197	417	1690
198	419	1689
199	421	1686
200	423	1684
201	425	1681
202	427	1679
203	430	1678
204	432	1676
205	434	1674
206	436	1671
207	438	1670
208	440	1668
209	443	1666
210	445	1664
211	447	1663
212	449	1662
213	452	1661
214	454	1658
215	456	1656
216	458	1655
217	461	1653
218	463	1652
219	465	1651
220	468	1650
221	470	1647
222	472	1645
223	474	1643
224	476	1641
225	478	1639
226	480	1637
227	482	1635
228	485	1632
229	487	1630
230	489	1628
231	491	1626
232	493	1623
233	495	1621
234	497	1618
235	499	1616
236	501	1615
237	503	1613
238	505	1610
239	507	1608
240	510	1607
241	513	1607
242	515	1605
243	517	1604
244	520	1604
245	522	1602
246	525	1602
247	528	1601
248	530	1601
249	532	1598
250	535	1597
251	537	1596
252	540	1594
253	542	1593
254	545	1592
255	547	1590
256	549	1588
257	551	1585
258	553	1583
259	555	1580
260	557	1577
261	559	1575
262	561	1573
263	563	1572
264	566	1570
265	568	1568
266	570	1565
267	572	1563
268	574	1561
269	577	1560
270	579	1559
271	581	1557
272	583	1555
273	585	1552
274	588	1550
275	590	1548
276	592	1545
277	594	1543
278	596	1541
279	599	1541
280	602	1540
281	604	1538
282	606	1536
283	608	1534
284	610	1532
285	613	1531
286	615	1529
287	617	1527
288	619	1524
289	622	1522
290	624	1520
291	626	1518
292	628	1516
293	630	1514
294	632	1511
295	634	1509
296	636	1507
297	639	1505
298	641	1503
299	643	1500
300	645	1498
301	647	1496
302	649	1494
303	652	1494
304	655	1493
305	657	1490
306	659	1488
307	661	1486
308	663	1483
309	665	1481
310	667	1478
311	669	1476
312	671	1474
313	674	1472
314	676	1470
315	678	1468
316	680	1466
317	682	1464
318	684	1461
319	686	1459
320	688	1456
321	690	1454
322	692	1452
323	695	1450
324	697	1448
325	699	1446
326	701	1443
327	703	1441
328	706	1440
329	708	1438
330	711	1437
331	713	1435
332	715	1432
333	717	1430
334	719	1429
335	722	1427
336	724	1425
337	726	1423
338	729	1422
339	732	1421
340	734	1419
341	737	1417
342	739	1415
343	741	1413
344	743	1411
345	745	1409
346	747	1407
347	750	1405
348	752	1403
349	754	1401
350	756	1399
351	758	1397
352	761	1394
353	763	1392
354	764	1389
355	767	1387
356	769	1385
357	770	1382
358	772	1380
359	774	1377
360	776	1375
361	779	1373
362	781	1371
363	784	1370
364	786	1368
365	788	1366
366	790	1364
367	792	1361
368	795	1359
369	797	1357
370	800	1357
371	802	1355
372	805	1353
373	807	1352
374	810	1350
375	812	1347
376	814	1345
377	817	1344
378	819	1342
379	821	1340
380	823	1338
381	825	1336
382	828	1334
383	830	1332
384	832	1329
385	835	1328
386	837	1325
387	839	1323
388	841	1321
389	843	1319
390	846	1318
391	848	1316
392	850	1314
393	853	1312
394	855	1310
395	857	1308
396	859	1306
397	862	1304
398	864	1302
399	866	1299
400	868	1297
401	870	1295
402	873	1293
403	875	1290
404	877	1288
405	879	1286
406	881	1284
407	883	1282
408	885	1280
409	888	1278
410	890	1276
411	892	1273
412	894	1271
413	896	1269
414	898	1266
415	900	1264
416	902	1262
417	905	1260
418	908	1259
419	911	1258
420	913	1256
421	915	1253
422	917	1251
423	919	1249
424	922	1248
425	925	1246
426	927	1245
427	929	1242
428	932	1240
429	934	1238
430	936	1235
431	938	1233
432	940	1231
433	942	1229
434	944	1227
435	946	1224
436	948	1221
437	950	1219
438	952	1217
439	955	1215
440	956	1212
441	959	1210
442	961	1208
443	963	1206
444	965	1204
445	967	1202
446	970	1200
447	972	1198
448	974	1196
449	976	1194
450	979	1191
451	984	1193
452	986	1190
453	988	1188
454	990	1186
455	992	1184
456	995	1182
457	997	1180
458	999	1178
459	1001	1175
460	1003	1173
461	1005	1171
462	1008	1169
463	1012	1169
464	1014	1167
465	1016	1165
466	1021	1165
467	1023	1163
468	1025	1161
469	1027	1158
470	1029	1156
471	1032	1155
472	1034	1152
473	1037	1150
474	1039	1148
475	1040	1145
476	1042	1143
477	1044	1141
478	1047	1138
479	1049	1136
480	1051	1134
481	1053	1132
482	1055	1130
483	1058	1128
484	1060	1126
485	1062	1123
486	1064	1121
487	1066	1119
488	1068	1116
489	1070	1114
490	1073	1112
491	1075	1110
492	1077	1107
493	1079	1105
494	1081	1103
495	1083	1101
496	1085	1098
497	1087	1096
498	1089	1094
499	1091	1091
500	1093	1089
501	1095	1086
502	1097	1084
503	1100	1083
504	1102	1080
505	1104	1078
506	1107	1076
507	1109	1074
508	1111	1072
509	1113	1070
510	1116	1067
511	1118	1065
512	1120	1063
513	1122	1061
514	1124	1059
515	1127	1057
516	1129	1055
517	1131	1052
518	1133	1050
519	1135	1048
520	1138	1046
521	1140	1044
522	1142	1041
523	1144	1039
524	1146	1037
525	1148	1035
526	1151	1033
527	1153	1030
528	1155	1028
529	1157	1026
530	1159	1024
531	1161	1022
532	1163	1019
533	1165	1017
534	1168	1015
535	1170	1013
536	1172	1010
537	1173	1008
538	1176	1006
539	1178	1004
