nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
CENTRO;22;2017;1;3,71492E+23;194.8;25.37;77.69;10646.12;22;4;5;194.8;25.37;77.69;3,71492E+18
CENTRO;17;2017;2;3,71492E+23;43.0;26.21;77.29;10646.12;22;22;4;194.8;25.37;77.69;3,71492E+18
CENTRO;8;2017;3;3,71492E+23;162.2;23.32;78.28;10646.12;17;22;22;43.0;26.21;77.29;3,71492E+18
CENTRO;4;2017;4;3,71492E+23;113.0;20.35;78.93;10646.12;8;17;22;162.2;23.32;78.28;3,71492E+18
CENTRO;3;2017;5;3,71492E+23;179.8;18.44;86.78;10646.12;4;8;17;113.0;20.35;78.93;3,71492E+18
CENTRO;3;2017;6;3,71492E+23;197.0;16.14;84.48;10646.12;3;4;8;179.8;18.44;86.78;3,71492E+18
CENTRO;1;2017;7;3,71492E+23;17.0;16.8;75.65;10646.12;3;3;4;197.0;16.14;84.48;3,71492E+18
CENTRO;3;2017;8;3,71492E+23;104.4;17.48;80.06;10646.12;1;3;3;17.0;16.8;75.65;3,71492E+18
CENTRO;3;2017;9;3,71492E+23;166.4;20.31;81.49;10646.12;3;1;3;104.4;17.48;80.06;3,71492E+18
CENTRO;6;2017;10;3,71492E+24;289.8;20.0;78.24;10646.12;3;3;1;166.4;20.31;81.49;3,71492E+18
CENTRO;7;2017;11;3,71492E+24;136.0;20.72;73.89;10646.12;6;3;3;289.8;20.0;78.24;3,71492E+18
CENTRO;7;2017;12;3,71492E+24;153.2;23.86;76.55;10646.12;7;6;3;136.0;20.72;73.89;3,71492E+18
CENTRO;7;2018;1;3,71492E+23;149.8;24.55;77.28;10646.12;7;7;6;153.2;23.86;76.55;3,71492E+18
CENTRO;6;2018;2;3,71492E+23;110.4;23.78;77.16;10646.12;7;7;7;149.8;24.55;77.28;3,71492E+18
CENTRO;1;2018;3;3,71492E+23;116.6;22.99;79.94;10646.12;6;7;7;110.4;23.78;77.16;3,71492E+18
CENTRO;1;2018;4;3,71492E+23;88.8;23.14;81.22;10646.12;1;6;7;116.6;22.99;79.94;3,71492E+18
CENTRO;6;2018;5;3,71492E+23;91.8;18.05;82.33;10646.12;1;1;6;88.8;23.14;81.22;3,71492E+18
CENTRO;3;2018;6;3,71492E+23;145.2;13.28;86.15;10646.12;6;1;1;91.8;18.05;82.33;3,71492E+18
CENTRO;0;2018;7;3,71492E+23;167.6;14.52;87.67;10646.12;3;6;1;145.2;13.28;86.15;3,71492E+18
CENTRO;1;2018;8;3,71492E+23;147.2;14.08;82.36;10646.12;0;3;6;167.6;14.52;87.67;3,71492E+18
CENTRO;1;2018;9;3,71492E+23;147.0;19.11;83.8;10646.12;1;0;3;147.2;14.08;82.36;3,71492E+18
CENTRO;0;2018;10;3,71492E+24;91.6;20.03;77.69;10646.12;1;1;0;147.0;19.11;83.8;3,71492E+18
CENTRO;2;2018;11;3,71492E+24;129.2;22.58;74.61;10646.12;0;1;1;91.6;20.03;77.69;3,71492E+18
CENTRO;1;2018;12;3,71492E+24;61.4;23.98;73.18;10646.12;2;0;1;129.2;22.58;74.61;3,71492E+18
CENTRO;1;2019;1;3,71492E+23;117.6;26.66;77.85;10646.12;1;2;0;61.4;23.98;73.18;3,71492E+18
CENTRO;5;2019;2;3,71492E+23;95.8;24.58;76.44;10646.12;1;1;2;117.6;26.66;77.85;3,71492E+18
CENTRO;6;2019;3;3,71492E+23;80.2;22.99;78.65;10646.12;5;1;1;95.8;24.58;76.44;3,71492E+18
