,nome_distrito,ano,mes_inicial,mes,dengue_diagnosis_previsto,precipitacao (mm)-1,temperatura (°C)-1,umidade ar (%)-1,t-1,t-2,t-3,densidade_demografica
0,CENTRO,2022,1,1,4,88.4,23.12,72.17,3.0,2.0,2.0,10646.12
1,CENTRO SUL,2022,1,1,0,88.4,23.12,72.17,0.0,0.0,0.0,3847.64
2,CRISTAL,2022,1,1,0,88.4,23.12,72.17,0.0,0.0,0.0,7056.38
3,CRUZEIRO,2022,1,1,0,88.4,23.12,72.17,0.0,1.0,0.0,9590.62
4,EIXO BALTAZAR,2022,1,1,2,88.4,23.12,72.17,2.0,1.0,1.0,8375.15
5,EXTREMO SUL,2022,1,1,1,88.4,23.12,72.17,0.0,0.0,2.0,300.6
6,GLORIA,2022,1,1,0,88.4,23.12,72.17,0.0,0.0,0.0,2324.68
7,HUMAITA NAVEGANTES,2022,1,1,0,88.4,23.12,72.17,0.0,0.0,0.0,2891.4
8,ILHAS,2022,1,1,0,88.4,23.12,72.17,0.0,0.0,0.0,188.46
9,LESTE,2022,1,1,2,88.4,23.12,72.17,1.0,3.0,0.0,7417.85
10,LOMBA DO PINHEIRO,2022,1,1,0,88.4,23.12,72.17,0.0,0.0,0.0,1230.31
11,NORDESTE,2022,1,1,0,88.4,23.12,72.17,0.0,0.0,0.0,5491.74
12,NOROESTE,2022,1,1,1,88.4,23.12,72.17,1.0,0.0,0.0,6310.17
13,NORTE,2022,1,1,1,88.4,23.12,72.17,1.0,0.0,0.0,3176.84
14,PARTENON,2022,1,1,1,88.4,23.12,72.17,0.0,1.0,1.0,8162.18
15,RESTINGA,2022,1,1,1,88.4,23.12,72.17,1.0,0.0,0.0,1574.92
16,SUL,2022,1,1,1,88.4,23.12,72.17,1.0,1.0,0.0,2802.29
17,CENTRO,2022,1,2,6,195.2,26.21,71.14,3.0,3.0,2.0,10646.12
18,CENTRO SUL,2022,1,2,1,195.2,26.21,71.14,1.0,0.0,0.0,3847.64
19,CRISTAL,2022,1,2,1,195.2,26.21,71.14,1.0,0.0,0.0,7056.38
20,CRUZEIRO,2022,1,2,2,195.2,26.21,71.14,1.0,0.0,1.0,9590.62
21,EIXO BALTAZAR,2022,1,2,4,195.2,26.21,71.14,2.0,2.0,1.0,8375.15
22,EXTREMO SUL,2022,1,2,3,195.2,26.21,71.14,2.0,0.0,0.0,300.6
23,GLORIA,2022,1,2,1,195.2,26.21,71.14,0.0,0.0,0.0,2324.68
24,HUMAITA NAVEGANTES,2022,1,2,3,195.2,26.21,71.14,2.0,0.0,0.0,2891.4
25,ILHAS,2022,1,2,1,195.2,26.21,71.14,0.0,0.0,0.0,188.46
26,LESTE,2022,1,2,2,195.2,26.21,71.14,1.0,1.0,3.0,7417.85
27,LOMBA DO PINHEIRO,2022,1,2,3,195.2,26.21,71.14,2.0,0.0,0.0,1230.31
28,NORDESTE,2022,1,2,2,195.2,26.21,71.14,1.0,0.0,0.0,5491.74
29,NOROESTE,2022,1,2,1,195.2,26.21,71.14,0.0,1.0,0.0,6310.17
30,NORTE,2022,1,2,2,195.2,26.21,71.14,1.0,1.0,0.0,3176.84
31,PARTENON,2022,1,2,1,195.2,26.21,71.14,0.0,0.0,1.0,8162.18
32,RESTINGA,2022,1,2,1,195.2,26.21,71.14,0.0,1.0,0.0,1574.92
33,SUL,2022,1,2,2,195.2,26.21,71.14,1.0,1.0,1.0,2802.29
34,CENTRO,2022,1,3,7,29.0,25.2,71.01,5.0,3.0,3.0,10646.12
