Date;Precipitation;Temperature;Relative humidity
2023-01-01;0;28.1;60;
2023-01-02;0;27.2;79.5;
2023-01-03;10.1;24.7;69.8;
2023-01-04;0;25;62.5;
2023-01-05;0;24.9;62.5;
2023-01-06;0;24;63.8;
2023-01-07;0;24;64.5;
2023-01-08;0;24.1;66.8;
2023-01-09;0;24.6;69.8;
2023-01-10;0;25.1;74;
2023-01-11;0.6;26.2;57.5;
2023-01-12;0;28.2;58;
2023-01-13;0;26.7;79;
2023-01-14;14.4;24.8;77.3;
2023-01-15;0;23.8;80.8;
2023-01-16;0;26.5;71.3;
2023-01-17;0;26.1;71.5;
2023-01-18;0;24.1;89.8;
2023-01-19;0.2;25.9;76.8;
2023-01-20;0;26.9;75.3;
2023-01-21;0;26.5;75.5;
2023-01-22;9.9;27.2;66.5;
2023-01-23;0;27.5;67.8;
2023-01-24;0;26.9;69;
2023-01-25;0;28.2;72;
2023-01-26;0;27.1;75.5;
2023-01-27;6.5;28.5;63.8;
2023-01-28;0;26.9;75.5;
2023-01-29;10.7;26.2;73.5;
2023-01-30;0;26.6;71.5;
2023-01-31;0;27.7;69.8;
2023-02-01;0;27.9;69.8;
2023-02-02;0;27.1;75;
2023-02-03;0;25.7;92.5;
2023-02-04;11.9;25.1;77.5;
2023-02-05;1.3;24.1;69.3;
2023-02-06;0.1;26.7;62;
2023-02-07;0;26.5;64.8;
2023-02-08;0;27.3;69.5;
2023-02-09;0;26.9;70.3;
2023-02-10;0;27.6;71.3;
2023-02-11;0;27;63;
2023-02-12;0;27;63.8;
2023-02-13;0;30.1;55.5;
2023-02-14;0;27;77.8;
2023-02-15;63.9;23.8;90.8;
2023-02-16;1.9;26;77.5;
2023-02-17;6.7;21.5;67;
2023-02-18;0;17.7;62.5;
2023-02-19;0;20.2;61;
2023-02-20;0;21.1;92.8;
2023-02-21;17.6;22.8;82.3;
2023-02-22;0.7;23.5;78.5;
2023-02-23;0;24.9;75.8;
2023-02-24;0;23.6;87.5;
2023-02-25;0.8;21.9;88.8;
2023-02-26;8.8;23.3;81;
2023-02-27;0;24.9;79.5;
2023-02-28;0;25.2;70.5;
2023-03-01;0;26.4;72;
2023-03-02;0;26.6;69;
2023-03-03;0;25.1;87.3;
2023-03-04;9;25.1;90.8;
2023-03-05;3.9;24.4;77.3;
2023-03-06;3.1;24.1;92.5;
2023-03-07;7.6;25.4;84.3;
2023-03-08;4.6;26.8;72.5;
2023-03-09;0;27;76.8;
2023-03-10;3.2;26.9;80.5;
2023-03-11;0;26.6;79;
2023-03-12;0;26.7;81.3;
2023-03-13;0;26.9;76;
2023-03-14;0;27.6;73;
2023-03-15;0;27.7;69.3;
2023-03-16;0;26.9;72.8;
2023-03-17;0;27.3;66.8;
2023-03-18;0;27.5;66.5;
2023-03-19;0;26.6;67.3;
2023-03-20;0;26.5;86;
2023-03-21;23.7;25.3;78.5;
2023-03-22;0;24.7;78.5;
2023-03-23;0;26.8;73;
2023-03-24;0;25.2;81.3;
2023-03-25;0;24.5;85.5;
2023-03-26;4.7;23.4;74.3;
2023-03-27;0.4;21.4;71.3;
2023-03-28;0;24.3;69;
2023-03-29;0;25.1;72.8;
2023-03-30;34.7;23;84.8;
2023-03-31;0.4;24.1;79;
2023-04-01;0.4;18.8;68;
2023-04-02;0;19.5;74.8;
2023-04-03;0;22;67.8;
2023-04-04;0;22.1;81.8;
2023-04-05;0;22.7;74.5;
2023-04-06;0;20.2;80.5;
2023-04-07;0;20.8;81.3;
2023-04-08;0;21.4;77.5;
2023-04-09;0;23;78.3;
2023-04-10;0;24.8;68.5;
2023-04-11;0;25.7;69;
2023-04-12;0;25.5;76.3;
2023-04-13;10;19.7;90.5;
2023-04-14;0.3;19.1;73.8;
2023-04-15;0;20.7;82;
2023-04-16;0;22;90.8;
2023-04-17;12.7;19.2;82.5;
2023-04-18;0;19.6;64.3;
2023-04-19;0;15.2;69;
2023-04-20;0.4;15.2;75.8;
2023-04-21;0;18.5;72;
2023-04-22;0;20;68.8;
2023-04-23;0;20;77.8;
2023-04-24;0;22;78.3;
2023-04-25;0;22.3;73;
2023-04-26;11.1;20.8;84.3;
2023-04-27;0;19.7;82.5;
2023-04-28;0;18.8;76;
2023-04-29;0;20.1;76;
2023-04-30;0;21.9;70.3;
2023-05-01;0;21;77.5;
2023-05-02;1.7;18.3;92.8;
2023-05-03;8.4;18.8;95.5;
2023-05-04;9;21.1;94.3;
2023-05-05;5.7;20.7;97.5;
2023-05-06;57.1;21.2;95;
2023-05-07;5.5;22;93;
2023-05-08;20;19.1;79;
2023-05-09;0;17;80.3;
2023-05-10;0;16.7;78;
2023-05-11;0;15.4;81.3;
2023-05-12;1;15.2;82.8;
2023-05-13;0.1;14.7;81.5;
2023-05-14;0;16.6;79;
2023-05-15;0;17.5;79;
2023-05-16;0;16.4;84.5;
2023-05-17;0.1;17.3;81.5;
2023-05-18;0;17.1;82.5;
2023-05-19;0;17.2;86.5;
2023-05-20;0.2;18.2;85;
2023-05-21;0;19.2;90.3;
2023-05-22;0.2;18.9;85.3;
2023-05-23;0.2;20.6;80.3;
2023-05-24;0;21.2;74.5;
2023-05-25;0;21.4;73.5;
2023-05-26;0;21.8;73.5;
2023-05-27;4;19.1;86.3;
2023-05-28;1.6;15.2;74.3;
2023-05-29;0;14.9;80;
2023-05-30;0;17.1;83.8;
2023-05-31;0;16.8;84;
2023-06-01;0;17;85.8;
2023-06-02;0;18.5;79;
2023-06-03;0;17.7;80.5;
2023-06-04;0;19;82.3;
