nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
AboliÃ§Ã£o;9.0;2012;1;827186535985332280320121;216.0;26.0;18.0;18.702.482.557.196.100;5.0;2.0;0.0;25.0;242.0;70.0;8271865359853322803
AboliÃ§Ã£o;47.0;2012;2;827186535985332280320122;26.0;28.0;11.0;18.702.482.557.196.100;9.0;5.0;2.0;26.0;216.0;72.0;8271865359853322803
AboliÃ§Ã£o;69.0;2012;3;827186535985332280320123;161.0;26.0;6.0;18.702.482.557.196.100;47.0;9.0;5.0;28.0;26.0;61.0;8271865359853322803
AboliÃ§Ã£o;96.0;2012;4;827186535985332280320124;24.0;25.0;1.0;18.702.482.557.196.100;69.0;47.0;9.0;26.0;161.0;69.0;8271865359853322803
AboliÃ§Ã£o;89.0;2012;5;827186535985332280320125;1.0;23.0;1.0;18.702.482.557.196.100;96.0;69.0;47.0;25.0;24.0;74.0;8271865359853322803
AboliÃ§Ã£o;33.0;2012;6;827186535985332280320126;1.0;25.0;1.0;18.702.482.557.196.100;89.0;96.0;69.0;23.0;1.0;74.0;8271865359853322803
AboliÃ§Ã£o;2.0;2012;7;827186535985332280320127;0.0;22.0;0.0;18.702.482.557.196.100;33.0;89.0;96.0;25.0;1.0;74.0;8271865359853322803
AboliÃ§Ã£o;2.0;2012;8;827186535985332280320128;26.0;21.0;2.0;18.702.482.557.196.100;2.0;33.0;89.0;22.0;0.0;73.0;8271865359853322803
AboliÃ§Ã£o;3.0;2012;9;827186535985332280320129;95.0;23.0;5.0;18.702.482.557.196.100;2.0;2.0;33.0;21.0;26.0;68.0;8271865359853322803
AboliÃ§Ã£o;1.0;2012;10;8271865359853322803201210;60.0;25.0;9.0;18.702.482.557.196.100;3.0;2.0;2.0;23.0;95.0;65.0;8271865359853322803
AboliÃ§Ã£o;1.0;2012;11;8271865359853322803201211;94.0;24.0;47.0;18.702.482.557.196.100;1.0;3.0;2.0;25.0;60.0;64.0;8271865359853322803
AboliÃ§Ã£o;3.0;2012;12;8271865359853322803201212;80.0;29.0;69.0;18.702.482.557.196.100;1.0;1.0;3.0;24.0;94.0;73.0;8271865359853322803
Acari;30.0;2012;1;-5,30282E+23;216.0;26.0;80.0;17.288.822.796.636.500;9.0;1.0;0.0;25.0;242.0;70.0;-5,30282E+18
Acari;52.0;2012;2;-5,30282E+23;26.0;28.0;42.0;17.288.822.796.636.500;30.0;9.0;1.0;26.0;216.0;72.0;-5,30282E+18
Acari;113.0;2012;3;-5,30282E+23;161.0;26.0;14.0;17.288.822.796.636.500;52.0;30.0;9.0;28.0;26.0;61.0;-5,30282E+18
Acari;232.0;2012;4;-5,30E+23;24.0;25.0;6.0;17.288.822.796.636.500;113.0;52.0;30.0;26.0;161.0;69.0;-5,30282E+18
Acari;211.0;2012;5;-5,30282E+23;1.0;23.0;1.0;17.288.822.796.636.500;232.0;113.0;52.0;25.0;24.0;74.0;-5,30282E+18
Acari;105.0;2012;6;-5,30282E+23;1.0;25.0;2.0;17.288.822.796.636.500;211.0;232.0;113.0;23.0;1.0;74.0;-5,30282E+18
Acari;14.0;2012;7;-5,30282E+23;0.0;22.0;0.0;17.288.822.796.636.500;105.0;211.0;232.0;25.0;1.0;74.0;-5,30282E+18
Acari;4.0;2012;8;-5,30282E+23;26.0;21.0;1.0;17.288.822.796.636.500;14.0;105.0;211.0;22.0;0.0;73.0;-5,30282E+18
Acari;2.0;2012;9;-5,30282E+23;95.0;23.0;9.0;17.288.822.796.636.500;4.0;14.0;105.0;21.0;26.0;68.0;-5,30282E+18
Acari;0.0;2012;10;-5,30282E+24;60.0;25.0;30.0;17.288.822.796.636.500;2.0;4.0;14.0;23.0;95.0;65.0;-5,30282E+18
Acari;4.0;2012;11;-5,30282E+24;94.0;24.0;52.0;17.288.822.796.636.500;0.0;2.0;4.0;25.0;60.0;64.0;-5,30282E+18
Acari;0.0;2012;12;-5,30282E+24;80.0;29.0;113.0;17.288.822.796.636.500;4.0;0.0;2.0;24.0;94.0;73.0;-5,30282E+18
Alto Da Boa Vista;7.0;2012;1;287108173736064819820121;216.0;26.0;22.0;3.010.933.238.505.570;4.0;1.0;1.0;25.0;242.0;70.0;2871081737360648198
Alto Da Boa Vista;8.0;2012;2;287108173736064819820122;26.0;28.0;21.0;3.010.933.238.505.570;7.0;4.0;1.0;26.0;216.0;72.0;2871081737360648198
Alto Da Boa Vista;25.0;2012;3;287108173736064819820123;161.0;26.0;1.0;3.010.933.238.505.570;8.0;7.0;4.0;28.0;26.0;61.0;2871081737360648198
Alto Da Boa Vista;26.0;2012;4;287108173736064819820124;24.0;25.0;2.0;3.010.933.238.505.570;25.0;8.0;7.0;26.0;161.0;69.0;2871081737360648198
Alto Da Boa Vista;16.0;2012;5;287108173736064819820125;1.0;23.0;0.0;3.010.933.238.505.570;26.0;25.0;8.0;25.0;24.0;74.0;2871081737360648198
Alto Da Boa Vista;6.0;2012;6;287108173736064819820126;1.0;25.0;0.0;3.010.933.238.505.570;16.0;26.0;25.0;23.0;1.0;74.0;2871081737360648198
Alto Da Boa Vista;3.0;2012;7;287108173736064819820127;0.0;22.0;1.0;3.010.933.238.505.570;6.0;16.0;26.0;25.0;1.0;74.0;2871081737360648198
Alto Da Boa Vista;4.0;2012;8;287108173736064819820128;26.0;21.0;1.0;3.010.933.238.505.570;3.0;6.0;16.0;22.0;0.0;73.0;2871081737360648198
Alto Da Boa Vista;2.0;2012;9;287108173736064819820129;95.0;23.0;4.0;3.010.933.238.505.570;4.0;3.0;6.0;21.0;26.0;68.0;2871081737360648198
Alto Da Boa Vista;2.0;2012;10;2871081737360648198201210;60.0;25.0;7.0;3.010.933.238.505.570;2.0;4.0;3.0;23.0;95.0;65.0;2871081737360648198
Alto Da Boa Vista;1.0;2012;11;2871081737360648198201211;94.0;24.0;8.0;3.010.933.238.505.570;2.0;2.0;4.0;25.0;60.0;64.0;2871081737360648198
Alto Da Boa Vista;2.0;2012;12;2871081737360648198201212;80.0;29.0;25.0;3.010.933.238.505.570;1.0;2.0;2.0;24.0;94.0;73.0;2871081737360648198
Anchieta;70.0;2012;1;-6,08635E+23;216.0;26.0;7.0;12.998.315.576.316.800;4.0;1.0;0.0;25.0;242.0;70.0;-6,08635E+18
Anchieta;100.0;2012;2;-6,08635E+23;26.0;28.0;6.0;12.998.315.576.316.800;70.0;4.0;1.0;26.0;216.0;72.0;-6,08635E+18
Anchieta;213.0;2012;3;-6,08635E+23;161.0;26.0;3.0;12.998.315.576.316.800;100.0;70.0;4.0;28.0;26.0;61.0;-6,08635E+18
Anchieta;651.0;2012;4;-6,08635E+23;24.0;25.0;3.0;12.998.315.576.316.800;213.0;100.0;70.0;26.0;161.0;69.0;-6,08635E+18
Anchieta;528.0;2012;5;-6,08635E+23;1.0;23.0;0.0;12.998.315.576.316.800;651.0;213.0;100.0;25.0;24.0;74.0;-6,08635E+18
Anchieta;163.0;2012;6;-6,08635E+23;1.0;25.0;0.0;12.998.315.576.316.800;528.0;651.0;213.0;23.0;1.0;74.0;-6,08635E+18
Anchieta;52.0;2012;7;-6,08635E+23;0.0;22.0;0.0;12.998.315.576.316.800;163.0;528.0;651.0;25.0;1.0;74.0;-6,08635E+18
Anchieta;25.0;2012;8;-6,08635E+23;26.0;21.0;1.0;12.998.315.576.316.800;52.0;163.0;528.0;22.0;0.0;73.0;-6,08635E+18
Anchieta;9.0;2012;9;-6,08635E+23;95.0;23.0;4.0;12.998.315.576.316.800;25.0;52.0;163.0;21.0;26.0;68.0;-6,08635E+18
Anchieta;15.0;2012;10;-6,08635E+24;60.0;25.0;70.0;12.998.315.576.316.800;9.0;25.0;52.0;23.0;95.0;65.0;-6,08635E+18
Anchieta;14.0;2012;11;-6,08635E+24;94.0;24.0;100.0;12.998.315.576.316.800;15.0;9.0;25.0;25.0;60.0;64.0;-6,08635E+18
Anchieta;10.0;2012;12;-6,08635E+24;80.0;29.0;213.0;12.998.315.576.316.800;14.0;15.0;9.0;24.0;94.0;73.0;-6,08635E+18
AndaraÃ­;22.0;2012;1;-2,70661E+23;216.0;26.0;0.0;17.669.249.988.944.400;0.0;0.0;0.0;25.0;242.0;70.0;-2,70661E+18
AndaraÃ­;22.0;2012;2;-2,70661E+23;26.0;28.0;0.0;17.669.249.988.944.400;22.0;0.0;0.0;26.0;216.0;72.0;-2,70661E+18
AndaraÃ­;52.0;2012;3;-2,70661E+23;161.0;26.0;0.0;17.669.249.988.944.400;22.0;22.0;0.0;28.0;26.0;61.0;-2,70661E+18
AndaraÃ­;95.0;2012;4;-2,70661E+23;24.0;25.0;0.0;17.669.249.988.944.400;52.0;22.0;22.0;26.0;161.0;69.0;-2,70661E+18
AndaraÃ­;126.0;2012;5;-2,70661E+23;1.0;23.0;0.0;17.669.249.988.944.400;95.0;52.0;22.0;25.0;24.0;74.0;-2,70661E+18
AndaraÃ­;49.0;2012;6;-2,70661E+23;1.0;25.0;0.0;17.669.249.988.944.400;126.0;95.0;52.0;23.0;1.0;74.0;-2,70661E+18
AndaraÃ­;20.0;2012;7;-2,70661E+23;0.0;22.0;0.0;17.669.249.988.944.400;49.0;126.0;95.0;25.0;1.0;74.0;-2,70661E+18
AndaraÃ­;12.0;2012;8;-2,70661E+23;26.0;21.0;0.0;17.669.249.988.944.400;20.0;49.0;126.0;22.0;0.0;73.0;-2,70661E+18
