,precipitacao (mm)-1,temperatura (°C)-1,umidade ar (%)-1,t-1,t-2,t-3,densidade_demografica
0,25.0,242.0,70.0,5.0,2.0,0.0,187.02482557196169
1,26.0,216.0,72.0,9.0,5.0,2.0,187.02482557196169
2,28.0,26.0,61.0,47.0,9.0,5.0,187.02482557196169
3,26.0,161.0,69.0,69.0,47.0,9.0,187.02482557196169
4,25.0,24.0,74.0,96.0,69.0,47.0,187.02482557196169
5,23.0,1.0,74.0,89.0,96.0,69.0,187.02482557196169
6,25.0,1.0,74.0,33.0,89.0,96.0,187.02482557196169
7,22.0,0.0,73.0,2.0,33.0,89.0,187.02482557196169
8,21.0,26.0,68.0,2.0,2.0,33.0,187.02482557196169
9,23.0,95.0,65.0,3.0,2.0,2.0,187.02482557196169
10,25.0,60.0,64.0,1.0,3.0,2.0,187.02482557196169
11,24.0,94.0,73.0,1.0,1.0,3.0,187.02482557196169
12,25.0,242.0,70.0,9.0,1.0,0.0,172.88822796636558
13,26.0,216.0,72.0,30.0,9.0,1.0,172.88822796636558
14,28.0,26.0,61.0,52.0,30.0,9.0,172.88822796636558
15,26.0,161.0,69.0,113.0,52.0,30.0,172.88822796636558
16,25.0,24.0,74.0,232.0,113.0,52.0,172.88822796636558
17,23.0,1.0,74.0,211.0,232.0,113.0,172.88822796636558
18,25.0,1.0,74.0,105.0,211.0,232.0,172.88822796636558
19,22.0,0.0,73.0,14.0,105.0,211.0,172.88822796636558
20,21.0,26.0,68.0,4.0,14.0,105.0,172.88822796636558
21,23.0,95.0,65.0,2.0,4.0,14.0,172.88822796636558
22,25.0,60.0,64.0,0.0,2.0,4.0,172.88822796636558
23,24.0,94.0,73.0,4.0,0.0,2.0,172.88822796636558
24,25.0,242.0,70.0,4.0,1.0,1.0,3.010933238505573
25,26.0,216.0,72.0,7.0,4.0,1.0,3.010933238505573
26,28.0,26.0,61.0,8.0,7.0,4.0,3.010933238505573
27,26.0,161.0,69.0,25.0,8.0,7.0,3.010933238505573
28,25.0,24.0,74.0,26.0,25.0,8.0,3.010933238505573
29,23.0,1.0,74.0,16.0,26.0,25.0,3.010933238505573
30,25.0,1.0,74.0,6.0,16.0,26.0,3.010933238505573
31,22.0,0.0,73.0,3.0,6.0,16.0,3.010933238505573
32,21.0,26.0,68.0,4.0,3.0,6.0,3.010933238505573
33,23.0,95.0,65.0,2.0,4.0,3.0,3.010933238505573
34,25.0,60.0,64.0,2.0,2.0,4.0,3.010933238505573
35,24.0,94.0,73.0,1.0,2.0,2.0,3.010933238505573
36,25.0,242.0,70.0,4.0,1.0,0.0,129.98315576316818
37,26.0,216.0,72.0,70.0,4.0,1.0,129.98315576316818
38,28.0,26.0,61.0,100.0,70.0,4.0,129.98315576316818
39,26.0,161.0,69.0,213.0,100.0,70.0,129.98315576316818
40,25.0,24.0,74.0,651.0,213.0,100.0,129.98315576316818
41,23.0,1.0,74.0,528.0,651.0,213.0,129.98315576316818
42,25.0,1.0,74.0,163.0,528.0,651.0,129.98315576316818
43,22.0,0.0,73.0,52.0,163.0,528.0,129.98315576316818
44,21.0,26.0,68.0,25.0,52.0,163.0,129.98315576316818
45,23.0,95.0,65.0,9.0,25.0,52.0,129.98315576316818
46,25.0,60.0,64.0,15.0,9.0,25.0,129.98315576316818
47,24.0,94.0,73.0,14.0,15.0,9.0,129.98315576316818
48,25.0,242.0,70.0,0.0,0.0,0.0,176.69249988944412
49,26.0,216.0,72.0,22.0,0.0,0.0,176.69249988944412
