,dengue_diagnosis
0,9.0
1,47.0
2,69.0
3,96.0
4,89.0
5,33.0
6,2.0
7,2.0
8,3.0
9,1.0
10,1.0
11,3.0
12,30.0
13,52.0
14,113.0
15,232.0
16,211.0
17,105.0
18,14.0
19,4.0
20,2.0
21,0.0
22,4.0
23,0.0
24,7.0
25,8.0
26,25.0
27,26.0
28,16.0
29,6.0
30,3.0
31,4.0
32,2.0
33,2.0
34,1.0
35,2.0
36,70.0
37,100.0
38,213.0
39,651.0
40,528.0
41,163.0
42,52.0
43,25.0
44,9.0
45,15.0
46,14.0
47,10.0
48,22.0
49,22.0
50,52.0
51,95.0
52,126.0
53,49.0
54,20.0
55,12.0
56,9.0
57,7.0
58,7.0
59,21.0
60,22.0
61,26.0
62,82.0
63,103.0
64,53.0
65,29.0
66,3.0
67,0.0
68,1.0
69,1.0
70,2.0
71,6.0
72,336.0
73,1058.0
74,2887.0
75,4371.0
76,2081.0
77,700.0
78,147.0
79,75.0
80,43.0
81,48.0
82,49.0
83,67.0
84,12.0
85,21.0
86,30.0
87,65.0
88,54.0
89,21.0
90,4.0
91,3.0
92,0.0
93,1.0
94,0.0
95,0.0
96,10.0
97,47.0
98,66.0
99,114.0
100,95.0
101,40.0
102,21.0
103,8.0
104,5.0
105,1.0
106,2.0
107,8.0
108,194.0
109,432.0
110,421.0
111,268.0
112,128.0
113,44.0
114,13.0
115,8.0
116,7.0
117,2.0
118,2.0
119,3.0
120,52.0
121,90.0
122,167.0
123,322.0
124,346.0
125,166.0
126,83.0
127,36.0
128,24.0
129,15.0
130,11.0
131,31.0
132,44.0
133,36.0
134,143.0
135,222.0
136,261.0
137,107.0
138,18.0
139,5.0
140,10.0
141,2.0
142,7.0
143,12.0
144,10.0
145,57.0
146,88.0
147,184.0
148,231.0
149,124.0
150,22.0
151,16.0
152,7.0
153,5.0
154,4.0
155,5.0
156,4.0
157,6.0
158,5.0
159,17.0
160,6.0
161,2.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,2.0
168,10.0
169,41.0
170,134.0
171,130.0
172,97.0
173,32.0
174,10.0
175,8.0
176,5.0
177,2.0
178,2.0
179,2.0
180,204.0
181,658.0
182,1815.0
183,2431.0
184,1633.0
185,514.0
186,70.0
187,30.0
188,10.0
189,19.0
190,12.0
191,27.0
192,0.0
193,3.0
194,8.0
195,6.0
196,4.0
197,2.0
198,1.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,33.0
205,71.0
206,208.0
207,237.0
208,174.0
209,59.0
210,24.0
211,9.0
212,5.0
213,6.0
214,3.0
215,6.0
216,10.0
217,20.0
218,24.0
219,28.0
220,47.0
221,10.0
222,13.0
223,9.0
224,0.0
225,2.0
226,0.0
227,1.0
228,6.0
229,22.0
230,23.0
231,40.0
232,63.0
233,30.0
234,12.0
235,7.0
236,2.0
237,2.0
238,3.0
239,8.0
240,19.0
241,66.0
242,173.0
243,152.0
244,90.0
245,24.0
246,15.0
247,1.0
248,0.0
249,4.0
250,2.0
251,5.0
252,2.0
253,6.0
254,12.0
255,33.0
256,25.0
257,6.0
258,4.0
259,1.0
260,1.0
261,0.0
262,0.0
263,1.0
264,44.0
265,22.0
266,73.0
267,101.0
268,121.0
269,59.0
270,2.0
271,3.0
272,4.0
273,0.0
274,1.0
275,0.0
276,51.0
277,134.0
278,213.0
279,275.0
280,189.0
281,78.0
282,24.0
283,12.0
284,2.0
285,6.0
286,6.0
287,4.0
288,79.0
289,198.0
290,287.0
291,171.0
292,196.0
293,81.0
294,37.0
295,14.0
296,9.0
297,2.0
298,5.0
299,11.0
300,20.0
301,37.0
302,21.0
303,83.0
304,135.0
305,22.0
306,36.0
307,3.0
308,2.0
309,1.0
310,0.0
311,0.0
312,0.0
313,3.0
314,3.0
315,14.0
316,10.0
317,6.0
318,2.0
319,2.0
320,1.0
321,0.0
322,0.0
323,0.0
324,36.0
325,45.0
326,261.0
327,308.0
328,210.0
329,30.0
330,7.0
331,3.0
332,3.0
333,0.0
334,3.0
335,6.0
336,34.0
337,77.0
338,161.0
339,160.0
340,173.0
341,69.0
342,12.0
343,7.0
344,2.0
345,2.0
346,1.0
347,4.0
348,28.0
349,49.0
350,100.0
351,170.0
352,166.0
353,79.0
354,9.0
355,3.0
356,1.0
357,0.0
358,2.0
359,6.0
360,19.0
361,27.0
362,63.0
363,220.0
364,196.0
365,81.0
366,17.0
367,7.0
368,6.0
369,4.0
370,1.0
371,9.0
372,25.0
373,38.0
374,56.0
375,100.0
376,65.0
377,19.0
378,4.0
379,6.0
380,2.0
381,0.0
382,2.0
383,1.0
384,10.0
385,14.0
386,74.0
387,139.0
388,71.0
389,22.0
390,0.0
391,5.0
392,2.0
393,1.0
394,0.0
395,3.0
396,4.0
397,9.0
398,16.0
399,25.0
400,15.0
401,5.0
402,0.0
403,1.0
404,0.0
405,0.0
406,0.0
407,0.0
408,22.0
409,83.0
410,168.0
411,275.0
412,339.0
413,132.0
414,47.0
415,14.0
416,4.0
417,6.0
418,9.0
419,5.0
420,14.0
421,59.0
422,160.0
423,187.0
424,182.0
425,66.0
426,8.0
427,5.0
428,2.0
429,2.0
430,1.0
431,6.0
432,37.0
433,95.0
434,194.0
435,241.0
436,219.0
437,89.0
438,10.0
439,10.0
440,4.0
441,4.0
442,3.0
443,7.0
444,11.0
445,25.0
446,31.0
447,74.0
448,72.0
449,25.0
450,5.0
451,5.0
452,2.0
453,2.0
454,4.0
455,7.0
456,35.0
457,53.0
458,110.0
459,121.0
460,112.0
461,38.0
462,9.0
463,4.0
464,4.0
465,6.0
466,2.0
467,13.0
468,31.0
469,22.0
470,59.0
471,87.0
472,113.0
473,70.0
474,19.0
475,17.0
476,7.0
477,14.0
478,8.0
479,20.0
480,8.0
481,7.0
482,44.0
483,45.0
484,48.0
485,22.0
486,2.0
487,0.0
488,0.0
489,0.0
490,1.0
491,2.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,14.0
505,25.0
506,66.0
507,145.0
508,125.0
509,73.0
510,23.0
511,13.0
512,5.0
513,4.0
514,6.0
515,3.0
516,104.0
517,175.0
518,325.0
519,401.0
520,301.0
521,141.0
522,30.0
523,13.0
524,7.0
525,8.0
526,3.0
527,6.0
528,6.0
529,17.0
530,35.0
531,63.0
532,84.0
533,37.0
534,9.0
535,5.0
536,3.0
537,0.0
538,1.0
539,1.0
540,35.0
541,92.0
542,168.0
543,180.0
544,127.0
545,36.0
546,8.0
547,9.0
548,3.0
549,2.0
550,2.0
551,0.0
552,5.0
553,3.0
554,4.0
555,14.0
556,11.0
557,11.0
558,3.0
559,0.0
560,1.0
561,1.0
562,2.0
563,2.0
564,69.0
565,126.0
566,297.0
567,510.0
568,602.0
569,243.0
570,38.0
571,21.0
572,10.0
573,9.0
574,4.0
575,17.0
576,26.0
577,64.0
578,200.0
579,344.0
580,234.0
581,84.0
582,10.0
583,3.0
584,2.0
585,3.0
586,2.0
587,4.0
588,177.0
589,351.0
590,690.0
591,851.0
592,1004.0
593,412.0
594,121.0
595,47.0
596,15.0
597,22.0
598,16.0
599,14.0
600,12.0
601,13.0
602,19.0
603,33.0
604,42.0
605,15.0
606,5.0
607,1.0
608,1.0
609,1.0
610,1.0
611,1.0
612,63.0
613,59.0
614,164.0
615,231.0
616,185.0
617,97.0
618,14.0
619,5.0
620,2.0
621,2.0
622,5.0
623,8.0
624,4.0
625,0.0
626,9.0
627,66.0
628,104.0
629,46.0
630,2.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,12.0
637,51.0
638,84.0
639,59.0
640,128.0
641,77.0
642,42.0
643,19.0
644,7.0
645,3.0
646,4.0
647,6.0
648,25.0
649,28.0
650,77.0
651,77.0
652,72.0
653,31.0
654,13.0
655,10.0
656,2.0
657,3.0
658,4.0
659,9.0
660,6.0
661,9.0
662,16.0
663,26.0
664,21.0
665,7.0
666,1.0
667,5.0
668,4.0
669,5.0
670,4.0
671,4.0
672,17.0
673,40.0
674,136.0
675,398.0
676,100.0
677,37.0
678,7.0
679,2.0
680,2.0
681,1.0
682,2.0
683,3.0
684,5.0
685,3.0
686,19.0
687,18.0
688,17.0
689,12.0
690,2.0
691,2.0
692,4.0
693,1.0
694,3.0
695,10.0
696,8.0
697,21.0
698,29.0
699,57.0
700,65.0
701,25.0
702,10.0
703,9.0
704,3.0
705,7.0
706,6.0
707,8.0
708,15.0
709,33.0
710,87.0
711,143.0
712,205.0
713,81.0
714,11.0
715,11.0
716,3.0
717,6.0
718,3.0
719,3.0
720,58.0
721,223.0
722,447.0
723,447.0
724,332.0
725,123.0
726,32.0
727,22.0
728,11.0
729,10.0
730,5.0
731,14.0
732,39.0
733,77.0
734,271.0
735,685.0
736,453.0
737,94.0
738,15.0
739,3.0
740,6.0
741,2.0
742,4.0
743,4.0
744,8.0
745,19.0
746,44.0
747,94.0
748,84.0
749,32.0
750,9.0
751,7.0
752,6.0
753,2.0
754,4.0
755,7.0
756,12.0
757,21.0
758,82.0
759,95.0
760,49.0
761,24.0
762,11.0
763,10.0
764,10.0
765,5.0
766,3.0
767,6.0
768,12.0
769,31.0
770,58.0
771,69.0
772,60.0
773,18.0
774,4.0
775,3.0
776,1.0
777,5.0
778,1.0
779,6.0
780,138.0
781,283.0
782,407.0
783,414.0
784,163.0
785,63.0
786,10.0
787,9.0
788,4.0
789,8.0
790,0.0
791,3.0
792,6.0
793,10.0
794,14.0
795,22.0
796,54.0
797,28.0
798,12.0
799,5.0
800,0.0
801,2.0
802,1.0
803,1.0
804,18.0
805,64.0
806,165.0
807,310.0
808,364.0
809,161.0
810,22.0
811,13.0
812,13.0
813,10.0
814,5.0
815,7.0
816,43.0
817,94.0
818,209.0
819,221.0
820,184.0
821,81.0
822,28.0
823,16.0
824,3.0
825,4.0
826,2.0
827,11.0
828,81.0
829,195.0
830,383.0
831,233.0
832,122.0
833,34.0
834,15.0
835,7.0
836,6.0
837,3.0
838,0.0
839,3.0
840,45.0
841,39.0
842,137.0
843,352.0
844,355.0
845,97.0
846,38.0
847,9.0
848,7.0
849,3.0
850,2.0
851,15.0
852,129.0
853,324.0
